age,Sr,eSr,d13C_berner,ed13C,d13C_10_smooth,ed13C,d34S,ed34S,fR,efR,fL,efL,fA,efA,fA_Godderis,efA_Godderis,fAw_fA,efAw_fA,fAw_fA_Godderis,efAw_fA_Godderis,fD,efD,fD_Godderis,efD_Godderis,RT,eRT,GEOG,eGEOG,GEOG_Godderis,eGEOG_Godderis,fSR,eFSR,fC,efC,sCAPd34S,esCAPd34S,sCAPd13C,esCAPd13C,sfpy,esfpy,smO2_1_berner,esmO2_1_berner,smO2_1_bergman,esmO2_1_bergman,smO2_1_fix,esmO2_1_fix,smO2_5_berner,esmO2_5_berner,smO2_5_bergman,esmO2_5_bergman,smO2_5_fix,esmO2_5_fix,smO2_bergman,esmO2_bergman,smO2_lenton,esmO2_lenton
570,90,2.419794621,0,0.383574975,-7.779033298,2.200265902,23,0.936205985,1.0128,0.081024,0.63,0.252,1,0.5,1,0.225,1,0.2,0.8132,0.4066,1.12,0.56,0.56185567,0.126417526,0.031993734,0.015996867,-0.4,5,-7.323,1.25,1,0.175,0.75,0.16875,17.3,4,29.97435009,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
560,90,2.419794621,0,0.383574975,-3.712130531,4.631427644,23.1,0.936205985,1.0196,0.081568,0.63,0.252,0.95,0.475,1,0.225,1,0.2,0.8132,0.4066,1.12,0.56,0.56185567,0.126417526,0.031993734,0.015996867,-0.4,5,-7.323,1.25,1.04,0.182,0.75,0.16875,16.7,4,29.97435009,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
550,90,2.419794621,0,0.383574975,-0.11049367,3.633623873,25.3,0.936205985,1.0244,0.081952,0.63,0.252,0.9,0.45,1,0.225,1,0.2,0.8132,0.4066,1.12,0.56,0.56185567,0.126417526,0.040703164,0.020351582,-0.4,5,-7.323,1.25,1.2,0.21,0.75,0.16875,18.9,4,29.97435009,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
540,90,2.419794621,0,0.383574975,-2.562524681,2.514963724,27.7,0.936205985,1.0272,0.082176,0.63,0.252,0.85,0.425,0.99,0.22275,1,0.2,0.8132,0.4066,1.12,0.56,0.56185567,0.126417526,0.02612829,0.013064145,0.6,5,-7.323,1.25,1.35,0.23625,0.75,0.16875,22.1,4,28.95143346,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.448066743,0,-0.448066743,0
530,89,2.419794621,0,0.383574975,2.634995913,5.534852865,33.1,0.94426086,1.0283,0.082264,1.05,0.42,0.66,0.33,0.961,0.216225,1,0.2,0.82035,0.410175,1.12,0.56,0.626440267,0.14094906,0.028706285,0.014353143,0.6,5,-5.9985,1.25,1.59,0.27825,0.75,0.16875,29.9,4,29.19891329,0,0.97,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.17202244,0,-0.17202244,0
520,89,2.419794621,0,0.385164,-1.061164389,4.504748887,32.7,1.349518433,1.0277,0.082216,1.05,0.42,0.64,0.32,0.932,0.2097,1,0.2,0.8275,0.41375,1.12,0.56,0.691024864,0.155480594,0.03128428,0.01564214,0.6,5,-4.674,1.25,1.7,0.2975,0.75,0.16875,28.9,4,29.35840029,0,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048822535,0,0.048822535,0
510,89,2.419794621,-0.5,0.383574975,-0.468921399,2.70011074,35.3,1.761953461,1.0254,0.082032,0.97,0.388,0.66,0.33,0.902,0.20295,1,0.2,0.83465,0.417325,1.1,0.55,0.75560946,0.170012129,0.030325998,0.015162999,1.1,5,-3.3495,1.25,1.62,0.2835,0.75,0.16875,31,4,29.19891329,0,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.048822535,0,-0.048822535,0
500,89,3.388423557,-1,0.1106064,0.442845718,2.153359164,36.1,3.030053905,1.0217,0.081736,0.99,0.396,0.65,0.325,0.873,0.196425,1,0.2,0.8418,0.4209,1.07,0.535,0.820194057,0.184543663,0.028902606,0.014451303,2.1,5,-2.025,1.25,1.52,0.266,0.75,0.16875,31.2,4,28.95143346,0,0.97,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.342649767,0,-0.342649767,0
490,87,1.156670083,-1,0.383574975,0.81165687,3.065260861,34,2.324226036,1.0165,0.08132,0.99,0.396,0.65,0.325,0.89,0.20025,1,0.2,0.826566667,0.413283333,1.03,0.515,0.847786537,0.190751971,0.029208767,0.014604384,3.1,5,-1.985,1.25,1.5,0.2625,0.75,0.16875,31.1,4,28.95143346,0,0.91,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.525055845,0,-0.525055845,0
480,85,3.439604452,-1,0.247626,-1.160345255,1.153413363,30.5,0.873002482,1.0101,0.080808,0.99,0.396,0.62,0.31,0.906,0.20385,1,0.2,0.811333333,0.405666667,0.96,0.48,0.875379018,0.196960279,0.029514928,0.014757464,3.9,5,-1.945,1.25,1.49,0.26075,0.75,0.16875,29.4,4,28.95143346,0,0.86,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.338941994,0,-0.312538568,0
